trialNum, blockWidth, MillisTime, pos, leftTriggerProbability, MouseX, MouseY, Start/CollectionDiameter, ForageDiameter, CircleX0, Circle Y0, CircleX1, CircleY1, CircleX2, CircleyY2, TrialState
1,1,4611.0,1,0.1,844,897,20,150,840,900,540,500,1140,500,2
1,1,4631.0,1,0.1,844,897,20,150,840,900,540,500,1140,500,2
1,1,4652.0,1,0.1,844,897,20,150,840,900,540,500,1140,500,2
1,1,4671.0,1,0.1,844,898,20,150,840,900,540,500,1140,500,2
1,1,4694.0,1,0.1,844,898,20,150,840,900,540,500,1140,500,2
1,1,4711.0,1,0.1,844,898,20,150,840,900,540,500,1140,500,2
1,1,4733.0,1,0.1,844,899,20,150,840,900,540,500,1140,500,2
1,1,4752.0,1,0.1,844,901,20,150,840,900,540,500,1140,500,2
1,1,4771.0,1,0.1,844,901,20,150,840,900,540,500,1140,500,2
1,1,4791.0,1,0.1,844,901,20,150,840,900,540,500,1140,500,2
1,1,4812.0,1,0.1,839,897,20,150,840,900,540,500,1140,500,2
1,1,4834.0,1,0.1,828,877,20,150,840,900,540,500,1140,500,2
1,1,4853.0,1,0.1,808,833,20,150,840,900,540,500,1140,500,2
1,1,4873.0,1,0.1,768,764,20,150,840,900,540,500,1140,500,2
1,1,4891.0,1,0.1,708,665,20,150,840,900,540,500,1140,500,2
1,1,4913.0,1,0.1,645,570,20,150,840,900,540,500,1140,500,2
1,1,4931.0,1,0.1,561,440,20,150,840,900,540,500,1140,500,2
1,1,4952.0,1,0.1,537,418,20,150,840,900,540,500,1140,500,2
1,1,4972.0,1,0.1,530,413,20,150,840,900,540,500,1140,500,2
1,1,4991.0,1,0.1,529,413,20,150,840,900,540,500,1140,500,2
1,1,5012.0,1,0.1,524,413,20,150,840,900,540,500,1140,500,2
1,1,5031.0,1,0.1,508,416,20,150,840,900,540,500,1140,500,2
1,1,5052.0,1,0.1,508,416,20,150,840,900,540,500,1140,500,2
1,1,5071.0,1,0.1,500,419,20,150,840,900,540,500,1140,500,2
1,1,5091.0,1,0.1,500,420,20,150,840,900,540,500,1140,500,2
1,1,5111.0,1,0.1,500,420,20,150,840,900,540,500,1140,500,2
1,1,5133.0,1,0.1,500,426,20,150,840,900,540,500,1140,500,2
1,1,5152.0,1,0.1,511,439,20,150,840,900,540,500,1140,500,2
1,1,5171.0,1,0.1,541,463,20,150,840,900,540,500,1140,500,2
1,1,5192.0,1,0.1,592,495,20,150,840,900,540,500,1140,500,2
1,1,5212.0,1,0.1,728,548,20,150,840,900,540,500,1140,500,2
1,1,5232.0,1,0.1,834,557,20,150,840,900,540,500,1140,500,2
1,1,5253.0,1,0.1,935,555,20,150,840,900,540,500,1140,500,2
1,1,5271.0,1,0.1,1003,545,20,150,840,900,540,500,1140,500,2
1,1,5292.0,1,0.1,1048,530,20,150,840,900,540,500,1140,500,2
1,1,5313.0,1,0.1,1096,511,20,150,840,900,540,500,1140,500,2
1,1,5330.0,1,0.1,1102,507,20,150,840,900,540,500,1140,500,3
1,1,5351.0,1,0.1,1103,504,20,150,840,900,540,500,1140,500,3
1,1,5374.0,1,0.1,1103,502,20,150,840,900,540,500,1140,500,3
1,1,5393.0,1,0.1,1104,502,20,150,840,900,540,500,1140,500,3
1,1,5413.0,1,0.1,1104,501,20,150,840,900,540,500,1140,500,3
1,1,5432.0,1,0.1,1104,501,20,150,840,900,540,500,1140,500,3
1,1,5453.0,1,0.1,1104,501,20,150,840,900,540,500,1140,500,3
1,1,5471.0,1,0.1,1104,501,20,150,840,900,540,500,1140,500,3
1,1,5491.0,1,0.1,1104,501,20,150,840,900,540,500,1140,500,3
1,1,5510.0,1,0.1,1104,501,20,150,840,900,540,500,1140,500,3
1,1,5531.0,1,0.1,1104,501,20,150,840,900,540,500,1140,500,3
1,1,5551.0,1,0.1,1104,501,20,150,840,900,540,500,1140,500,3
1,1,5571.0,1,0.1,1104,504,20,150,840,900,540,500,1140,500,3
1,1,5593.0,1,0.1,1103,521,20,150,840,900,540,500,1140,500,3
1,1,5611.0,1,0.1,1063,605,20,150,840,900,540,500,1140,500,3
1,1,5633.0,1,0.1,1026,676,20,150,840,900,540,500,1140,500,3
1,1,5651.0,1,0.1,975,751,20,150,840,900,540,500,1140,500,3
1,1,5671.0,1,0.1,920,817,20,150,840,900,540,500,1140,500,3
1,1,5693.0,1,0.1,885,857,20,150,840,900,540,500,1140,500,3
1,1,5713.0,1,0.1,867,883,20,150,840,900,540,500,1140,500,3
1,1,5733.0,1,0.1,866,886,20,150,840,900,540,500,1140,500,3
1,1,5751.0,1,0.1,865,887,20,150,840,900,540,500,1140,500,3
1,1,5772.0,1,0.1,865,889,20,150,840,900,540,500,1140,500,3
1,1,5793.0,1,0.1,864,889,20,150,840,900,540,500,1140,500,3
1,1,5811.0,1,0.1,864,889,20,150,840,900,540,500,1140,500,3
1,1,5833.0,1,0.1,864,890,20,150,840,900,540,500,1140,500,3
1,1,5852.0,1,0.1,848,898,20,150,840,900,540,500,1140,500,3
2,1,5871.0,1,0.1,844,900,20,150,840,900,540,500,1140,500,1
2,1,5892.0,1,0.9,844,900,20,150,840,900,540,500,1140,500,2
2,1,5911.0,1,0.9,844,901,20,150,840,900,540,500,1140,500,2
2,1,5931.0,1,0.9,843,901,20,150,840,900,540,500,1140,500,2
2,1,5951.0,1,0.9,839,901,20,150,840,900,540,500,1140,500,2
2,1,5971.0,1,0.9,833,901,20,150,840,900,540,500,1140,500,2
2,1,5994.0,1,0.9,830,901,20,150,840,900,540,500,1140,500,2
2,1,6012.0,1,0.9,829,901,20,150,840,900,540,500,1140,500,2
2,1,6034.0,1,0.9,829,901,20,150,840,900,540,500,1140,500,2
2,1,6052.0,1,0.9,829,901,20,150,840,900,540,500,1140,500,2
2,1,6071.0,1,0.9,829,901,20,150,840,900,540,500,1140,500,2
2,1,6093.0,1,0.9,829,901,20,150,840,900,540,500,1140,500,2
2,1,6113.0,1,0.9,833,900,20,150,840,900,540,500,1140,500,2
2,1,6132.0,1,0.9,856,886,20,150,840,900,540,500,1140,500,2
2,1,6151.0,1,0.9,900,856,20,150,840,900,540,500,1140,500,2
2,1,6171.0,1,0.9,982,793,20,150,840,900,540,500,1140,500,2
