trialNum, blockWidth, MillisTime, rpos, reach, leftprob, MouseX, MouseY, startdiameter, targetdiameter, x0,y0, x1, y1,trialstate
1,50,21143.0,1,2.0,1.0,811,860,140,140,840,910,420,194,1
1,50,21159.0,1,2.0,0.9,815,873,140,140,840,910,420,194,2
1,50,21176.0,1,2.0,0.9,818,882,140,140,840,910,420,194,2
1,50,21192.0,1,2.0,0.9,819,885,140,140,840,910,420,194,2
1,50,21211.0,1,2.0,0.9,820,887,140,140,840,910,420,194,2
1,50,21226.0,1,2.0,0.9,820,889,140,140,840,910,420,194,2
1,50,21242.0,1,2.0,0.9,821,890,140,140,840,910,420,194,2
1,50,21260.0,1,2.0,0.9,822,892,140,140,840,910,420,194,2
1,50,21277.0,1,2.0,0.9,826,898,140,140,840,910,420,194,2
1,50,21295.0,1,2.0,0.9,829,904,140,140,840,910,420,194,2
1,50,21310.0,1,2.0,0.9,837,919,140,140,840,910,420,194,2
1,50,21327.0,1,2.0,0.9,844,930,140,140,840,910,420,194,2
1,50,21344.0,1,2.0,0.9,845,931,140,140,840,910,420,194,2
1,50,21360.0,1,2.0,0.9,845,931,140,140,840,910,420,194,2
1,50,21379.0,1,2.0,0.9,845,931,140,140,840,910,420,194,2
1,50,21394.0,1,2.0,0.9,845,931,140,140,840,910,420,194,2
1,50,21410.0,1,2.0,0.9,823,849,140,140,840,910,420,194,2
1,50,21427.0,1,2.0,0.9,807,808,140,140,840,910,420,194,2
1,50,21443.0,1,2.0,0.9,743,678,140,140,840,910,420,194,2
1,50,21461.0,1,2.0,0.9,656,525,140,140,840,910,420,194,2
1,50,21477.0,1,2.0,0.9,547,358,140,140,840,910,420,194,2
1,50,21496.0,1,2.0,0.9,505,294,140,140,840,910,420,194,2
1,50,21510.0,1,2.0,0.9,505,294,140,140,840,910,420,194,2
1,50,21527.0,1,2.0,0.9,426,179,140,140,840,910,420,194,2
1,50,21544.0,1,2.0,0.9,392,127,140,140,840,910,420,194,3
1,50,21563.0,1,2.0,0.9,379,105,140,140,840,910,420,194,3
1,50,21577.0,1,2.0,0.9,378,102,140,140,840,910,420,194,3
1,50,21596.0,1,2.0,0.9,378,102,140,140,840,910,420,194,3
1,50,21610.0,1,2.0,0.9,378,102,140,140,840,910,420,194,3
1,50,21627.0,1,2.0,0.9,378,102,140,140,840,910,420,194,3
1,50,21645.0,1,2.0,0.9,378,102,140,140,840,910,420,194,3
1,50,21660.0,1,2.0,0.9,378,102,140,140,840,910,420,194,3
1,50,21679.0,1,2.0,0.9,378,102,140,140,840,910,420,194,3
1,50,21693.0,1,2.0,0.9,378,102,140,140,840,910,420,194,3
1,50,21710.0,1,2.0,0.9,378,102,140,140,840,910,420,194,3
1,50,21730.0,1,2.0,0.9,378,102,140,140,840,910,420,194,3
1,50,21743.0,1,2.0,0.9,378,102,140,140,840,910,420,194,3
1,50,21764.0,1,2.0,0.9,378,102,140,140,840,910,420,194,3
1,50,21777.0,1,2.0,0.9,378,102,140,140,840,910,420,194,3
1,50,21793.0,1,2.0,0.9,377,103,140,140,840,910,420,194,3
1,50,21810.0,1,2.0,0.9,377,103,140,140,840,910,420,194,3
1,50,21826.0,1,2.0,0.9,376,114,140,140,840,910,420,194,3
1,50,21846.0,1,2.0,0.9,376,114,140,140,840,910,420,194,3
1,50,21860.0,1,2.0,0.9,376,142,140,140,840,910,420,194,3
1,50,21878.0,1,2.0,0.9,376,142,140,140,840,910,420,194,3
1,50,21893.0,1,2.0,0.9,395,203,140,140,840,910,420,194,3
1,50,21910.0,1,2.0,0.9,435,292,140,140,840,910,420,194,3
1,50,21930.0,1,2.0,0.9,435,292,140,140,840,910,420,194,3
1,50,21944.0,1,2.0,0.9,550,496,140,140,840,910,420,194,3
1,50,21963.0,1,2.0,0.9,550,496,140,140,840,910,420,194,3
1,50,21977.0,1,2.0,0.9,617,594,140,140,840,910,420,194,3
1,50,22011.0,1,2.0,0.9,643,630,140,140,840,910,420,194,3
1,50,22029.0,1,2.0,0.9,657,650,140,140,840,910,420,194,3
1,50,22046.0,1,2.0,0.9,660,653,140,140,840,910,420,194,3
1,50,22065.0,1,2.0,0.9,663,660,140,140,840,910,420,194,3
1,50,22079.0,1,2.0,0.9,670,672,140,140,840,910,420,194,3
1,50,22099.0,1,2.0,0.9,680,687,140,140,840,910,420,194,3
1,50,22112.0,1,2.0,0.9,685,696,140,140,840,910,420,194,3
1,50,22129.0,1,2.0,0.9,702,716,140,140,840,910,420,194,3
1,50,22146.0,1,2.0,0.9,728,746,140,140,840,910,420,194,3
1,50,22162.0,1,2.0,0.9,741,761,140,140,840,910,420,194,3
1,50,22178.0,1,2.0,0.9,764,789,140,140,840,910,420,194,3
1,50,22195.0,1,2.0,0.9,777,804,140,140,840,910,420,194,3
1,50,22215.0,1,2.0,0.9,777,804,140,140,840,910,420,194,3
1,50,22231.0,1,2.0,0.9,779,807,140,140,840,910,420,194,3
1,50,22246.0,1,2.0,0.9,779,807,140,140,840,910,420,194,3
1,50,22264.0,1,2.0,0.9,779,807,140,140,840,910,420,194,3
1,50,22280.0,1,2.0,0.9,779,807,140,140,840,910,420,194,3
1,50,22295.0,1,2.0,0.9,779,807,140,140,840,910,420,194,3
1,50,22312.0,1,2.0,0.9,780,809,140,140,840,910,420,194,3
