trialNum, blockWidth, MillisTime, rpos, reach, leftprob, px, py, startdiameter, targetdiameter, x0,y0, x1, y1,trialstate
1,50,20052.0,1,2.0,1.0,789,883,140,140,840,910,420,194,1
1,50,20070.0,1,2.0,0.75,792,883,140,140,840,910,420,194,2
1,50,20086.0,1,2.0,0.75,794,883,140,140,840,910,420,194,2
1,50,20104.0,1,2.0,0.75,794,883,140,140,840,910,420,194,2
1,50,20120.0,1,2.0,0.75,796,883,140,140,840,910,420,194,2
1,50,20137.0,1,2.0,0.75,799,883,140,140,840,910,420,194,2
1,50,20153.0,1,2.0,0.75,799,883,140,140,840,910,420,194,2
1,50,20169.0,1,2.0,0.75,804,883,140,140,840,910,420,194,2
1,50,20186.0,1,2.0,0.75,808,883,140,140,840,910,420,194,2
1,50,20203.0,1,2.0,0.75,811,883,140,140,840,910,420,194,2
1,50,20220.0,1,2.0,0.75,816,884,140,140,840,910,420,194,2
1,50,20236.0,1,2.0,0.75,819,885,140,140,840,910,420,194,2
1,50,20252.0,1,2.0,0.75,825,886,140,140,840,910,420,194,2
1,50,20269.0,1,2.0,0.75,830,886,140,140,840,910,420,194,2
1,50,20286.0,1,2.0,0.75,833,886,140,140,840,910,420,194,2
1,50,20300.0,1,2.0,0.75,833,885,140,140,840,910,420,194,2
1,50,20318.0,1,2.0,0.75,833,885,140,140,840,910,420,194,2
1,50,20333.0,1,2.0,0.75,833,880,140,140,840,910,420,194,2
1,50,20353.0,1,2.0,0.75,833,873,140,140,840,910,420,194,2
1,50,20369.0,1,2.0,0.75,829,848,140,140,840,910,420,194,2
1,50,20386.0,1,2.0,0.75,812,787,140,140,840,910,420,194,2
1,50,20402.0,1,2.0,0.75,802,762,140,140,840,910,420,194,2
1,50,20420.0,1,2.0,0.75,763,678,140,140,840,910,420,194,2
1,50,20437.0,1,2.0,0.75,711,588,140,140,840,910,420,194,2
1,50,20453.0,1,2.0,0.75,645,477,140,140,840,910,420,194,2
1,50,20469.0,1,2.0,0.75,593,379,140,140,840,910,420,194,2
1,50,20486.0,1,2.0,0.75,580,349,140,140,840,910,420,194,2
1,50,20502.0,1,2.0,0.75,559,305,140,140,840,910,420,194,2
1,50,20519.0,1,2.0,0.75,549,286,140,140,840,910,420,194,2
1,50,20536.0,1,2.0,0.75,547,282,140,140,840,910,420,194,2
1,50,20554.0,1,2.0,0.75,547,282,140,140,840,910,420,194,2
1,50,20570.0,1,2.0,0.75,547,282,140,140,840,910,420,194,2
1,50,20585.0,1,2.0,0.75,547,282,140,140,840,910,420,194,2
1,50,20602.0,1,2.0,0.75,547,282,140,140,840,910,420,194,2
1,50,20620.0,1,2.0,0.75,547,282,140,140,840,910,420,194,2
1,50,20636.0,1,2.0,0.75,547,282,140,140,840,910,420,194,2
1,50,20653.0,1,2.0,0.75,547,282,140,140,840,910,420,194,2
1,50,20670.0,1,2.0,0.75,546,281,140,140,840,910,420,194,2
1,50,20686.0,1,2.0,0.75,544,279,140,140,840,910,420,194,2
1,50,20703.0,1,2.0,0.75,535,272,140,140,840,910,420,194,2
1,50,20719.0,1,2.0,0.75,522,260,140,140,840,910,420,194,2
1,50,20736.0,1,2.0,0.75,510,250,140,140,840,910,420,194,2
1,50,20754.0,1,2.0,0.75,503,244,140,140,840,910,420,194,2
1,50,20770.0,1,2.0,0.75,487,225,140,140,840,910,420,194,2
1,50,20787.0,1,2.0,0.75,465,197,140,140,840,910,420,194,2
1,50,20803.0,1,2.0,0.75,450,178,140,140,840,910,420,194,3
1,50,20820.0,1,2.0,0.75,442,167,140,140,840,910,420,194,3
1,50,20837.0,1,2.0,0.75,439,163,140,140,840,910,420,194,3
1,50,20854.0,1,2.0,0.75,438,162,140,140,840,910,420,194,3
1,50,20872.0,1,2.0,0.75,437,161,140,140,840,910,420,194,3
1,50,20890.0,1,2.0,0.75,435,161,140,140,840,910,420,194,3
1,50,20906.0,1,2.0,0.75,433,161,140,140,840,910,420,194,3
1,50,20924.0,1,2.0,0.75,431,161,140,140,840,910,420,194,3
