2016,7,11,14,32
timestamp, trialNum, blockWidth, position_number, LeftTriggerProbability, rightORwrong, Rewardposition, forageDistance, collectionDistance, totalDistance, optimalTotalDistance, Totaldifference, score
245322.0,94,50,1,0.9,1,1,460,695,1156,830,326,4956
246760.0,95,50,1,0.9,1,1,457,490,948,830,118,5044
248183.0,96,50,1,0.9,1,1,493,525,1018,830,188,5125
249723.0,97,50,1,0.9,1,1,481,809,1290,830,460,5190
251442.0,98,50,1,0.9,1,1,643,619,1262,830,432,5256
253443.0,99,50,1,0.9,1,1,451,519,971,830,141,5341
256123.0,100,50,1,0.9,1,1,455,612,1068,830,238,5419
257540.0,101,50,1,0.5,1,1,442,676,1119,830,289,5493
259381.0,102,50,1,0.5,1,1,562,863,1425,830,595,5551
261002.0,103,50,1,0.5,1,1,569,730,1299,830,469,5615
262662.0,104,50,1,0.5,1,1,480,700,1180,830,350,5685
265182.0,105,50,1,0.5,1,1,471,574,1045,830,215,5765
268022.0,106,50,1,0.5,0,2,1551,672,2224,830,1394,5765
269561.0,107,50,1,0.5,1,2,449,623,1073,830,243,5842
271203.0,108,50,1,0.5,1,2,445,992,1438,830,608,5900
272503.0,109,50,1,0.5,1,2,475,516,992,830,162,5983
274602.0,110,50,1,0.5,1,2,524,742,1267,830,437,6049
277645.0,111,50,1,0.5,0,1,1255,720,1975,830,1145,6049
280183.0,112,50,1,0.5,0,2,1140,562,1702,830,872,6049
284124.0,113,50,1,0.5,0,1,1929,604,2534,830,1704,6049
286347.0,114,50,1,0.5,1,1,480,867,1347,830,517,6110
287906.0,115,50,1,0.5,1,1,457,584,1041,830,211,6190
290544.0,116,50,1,0.5,0,2,1183,790,1973,830,1143,6190
292906.0,117,50,1,0.5,0,2,1370,790,2161,830,1331,6190
294084.0,118,50,1,0.5,1,2,514,797,1312,830,482,6253
295525.0,119,50,1,0.5,1,2,684,585,1270,830,440,6319
298464.0,120,50,1,0.5,0,1,1208,866,2074,830,1244,6319
300467.0,121,50,1,0.5,0,1,1191,595,1787,830,957,6319
302104.0,122,50,1,0.5,1,1,463,791,1255,830,425,6385
303228.0,123,50,1,0.5,1,1,485,582,1067,830,237,6462
304981.0,124,50,1,0.5,0,2,1157,586,1744,830,914,6462
306378.0,125,50,1,0.5,1,2,468,642,1110,830,280,6537
308641.0,126,50,1,0.5,0,1,1318,742,2060,830,1230,6537
310998.0,127,50,1,0.5,0,2,1303,634,1937,830,1107,6537
313521.0,128,50,1,0.5,0,1,1816,600,2416,830,1586,6537
315401.0,129,50,1,0.5,0,1,1183,735,1918,830,1088,6537
316941.0,130,50,1,0.5,1,1,454,752,1207,830,377,6606
319918.0,131,50,1,0.5,0,2,1377,604,1981,830,1151,6606
321219.0,132,50,1,0.5,1,2,523,583,1106,830,276,6681
324222.0,133,50,1,0.5,0,2,1322,566,1889,830,1059,6681
326620.0,134,50,1,0.5,0,1,1514,576,2090,830,1260,6681
328603.0,135,50,1,0.5,1,2,562,946,1508,830,678,6736
331361.0,136,50,1,0.5,0,1,1691,588,2279,830,1449,6736
334480.0,137,50,1,0.5,1,2,577,637,1215,830,385,6804
336003.0,138,50,1,0.5,1,2,471,596,1067,830,237,6882
339460.0,139,50,1,0.5,0,2,1193,885,2078,830,1248,6882
341301.0,140,50,1,0.5,0,1,1499,684,2183,830,1353,6882
342822.0,141,50,1,0.5,1,1,472,800,1273,830,443,6947
345142.0,142,50,1,0.5,0,2,1400,803,2204,830,1374,6947
346645.0,143,50,1,0.5,0,2,1419,868,2287,830,1457,6947
349121.0,144,50,1,0.5,0,1,1852,551,2404,830,1574,6947
350701.0,145,50,1,0.5,1,1,484,664,1148,830,318,7019
351843.0,146,50,1,0.5,1,1,485,613,1099,830,269,7095
353324.0,147,50,1,0.5,1,1,471,737,1209,830,379,7164
355546.0,148,50,1,0.5,0,2,1112,789,1901,830,1071,7164
357143.0,149,50,1,0.5,1,1,564,855,1419,830,589,7222
358786.0,150,50,1,0.5,1,1,480,725,1206,830,376,7291
360304.0,151,50,1,0.75,1,1,454,772,1226,830,396,7358
362163.0,152,50,1,0.75,0,2,1106,691,1798,830,968,7358
363883.0,153,50,1,0.75,0,1,1335,600,1936,830,1106,7358
366288.0,154,50,1,0.75,0,2,1372,729,2102,830,1272,7358
367487.0,155,50,1,0.75,1,1,490,585,1076,830,246,7436
369027.0,156,50,1,0.75,1,1,505,617,1122,830,292,7510
370307.0,157,50,1,0.75,1,1,440,619,1059,830,229,7588
372249.0,158,50,1,0.75,0,2,1121,532,1653,830,823,7588
373489.0,159,50,1,0.75,1,1,463,677,1140,830,310,7661
374868.0,160,50,1,0.75,1,1,451,716,1167,830,337,7732
377151.0,161,50,1,0.75,0,2,2086,820,2906,830,2076,7732
379091.0,162,50,1,0.75,1,1,451,563,1014,830,184,7814
381990.0,163,50,1,0.75,1,1,605,736,1341,830,511,7875
385848.0,164,50,1,0.75,0,2,2767,1529,4297,830,3467,7875
388452.0,165,50,1,0.75,0,1,1768,758,2527,830,1697,7875
390231.0,166,50,1,0.75,1,1,449,1176,1626,830,796,7926
391730.0,167,50,1,0.75,1,1,478,740,1218,830,388,7995
393630.0,168,50,1,0.75,0,1,1121,798,1920,830,1090,7995
396887.0,169,50,1,0.75,0,2,1973,642,2615,830,1785,7995
398769.0,170,50,1,0.75,1,1,495,849,1344,830,514,8056
400048.0,171,50,1,0.75,1,1,480,789,1269,830,439,8122
401528.0,172,50,1,0.75,1,1,448,627,1075,830,245,8199
402848.0,173,50,1,0.75,1,1,469,616,1086,830,256,8275
404229.0,174,50,1,0.75,1,1,451,734,1186,830,356,8345
406030.0,175,50,1,0.75,1,1,467,920,1387,830,557,8405
407368.0,176,50,1,0.75,1,1,488,528,1016,830,186,8487
410229.0,177,50,1,0.75,1,1,454,524,979,830,149,8571
411969.0,178,50,1,0.75,1,1,481,902,1384,830,554,8631
414090.0,179,50,1,0.75,0,2,1319,810,2130,830,1300,8631
415970.0,180,50,1,0.75,0,2,1262,666,1929,830,1099,8631
417232.0,181,50,1,0.75,1,2,450,736,1186,830,356,8701
419652.0,182,50,1,0.75,0,1,1388,705,2093,830,1263,8701
422672.0,183,50,1,0.75,0,1,1279,723,2002,830,1172,8701
425137.0,184,50,1,0.75,0,1,1333,732,2066,830,1236,8701
426900.0,185,50,1,0.75,1,1,500,713,1213,830,383,8770
428798.0,186,50,1,0.75,1,1,490,2097,2588,830,1758,8802
430281.0,187,50,1,0.75,1,1,455,546,1001,830,171,8885
432078.0,188,50,1,0.75,1,1,491,869,1360,830,530,8946
434681.0,189,50,1,0.75,1,1,479,964,1443,830,613,9003
435840.0,190,50,1,0.75,1,1,452,659,1112,830,282,9078
438181.0,191,50,1,0.75,0,2,1394,722,2117,830,1287,9078
439459.0,192,50,1,0.75,1,1,492,569,1062,830,232,9156
441420.0,193,50,1,0.75,0,2,1284,537,1822,830,992,9156
442779.0,194,50,1,0.75,0,2,1107,955,2063,830,1233,9156
445241.0,195,50,1,0.75,0,1,1336,644,1980,830,1150,9156
447520.0,196,50,1,0.75,1,1,516,605,1122,830,292,9230
449181.0,197,50,1,0.75,1,1,547,747,1294,830,464,9294
450903.0,198,50,1,0.75,1,2,449,878,1328,830,498,9356
452141.0,199,50,1,0.75,1,1,447,638,1085,830,255,9433
453840.0,200,50,1,0.75,1,1,537,679,1216,830,386,9501
455333.0,201,50,1,0.1,1,2,478,659,1138,830,308,9574
457753.0,202,50,1,0.1,0,2,1273,649,1922,830,1092,9574
460295.0,203,50,1,0.1,0,2,1516,763,2279,830,1449,9574
463296.0,204,50,1,0.1,0,2,1704,733,2437,830,1607,9574
465376.0,205,50,1,0.1,0,2,1336,678,2015,830,1185,9574
467416.0,206,50,1,0.1,0,1,1198,738,1937,830,1107,9574
