2016,7,11,14,51
timestamp, trialCnt, blockWidth, block, diameter,targetwidth, totdist, optdist
11553.0,1,25,0,150,60,408.0608,90.0
13041.0,2,25,0,150,60,176.73424,90.0
13224.0,3,25,0,150,60,139.87973,90.0
13639.0,4,25,0,150,60,150.98138,90.0
13856.0,5,25,0,150,60,127.57268,90.0
14172.0,6,25,0,150,60,134.55823,90.0
14894.0,7,25,0,150,60,230.37318,90.0
15110.0,8,25,0,150,60,47.623283,90.0
16561.0,9,25,0,150,60,343.74496,90.0
17481.0,10,25,0,150,60,158.0667,90.0
22048.0,11,25,0,150,60,729.0362,90.0
22283.0,12,25,0,150,60,106.16115,90.0
23470.0,13,25,0,150,60,196.4333,90.0
25132.0,14,25,0,150,60,196.85692,90.0
29605.0,15,25,0,150,60,772.8071,90.0
30221.0,16,25,0,150,60,155.14345,90.0
30754.0,17,25,0,150,60,118.07894,90.0
31169.0,18,25,0,150,60,139.70616,90.0
31854.0,19,25,0,150,60,112.60567,90.0
32473.0,20,25,0,150,60,103.160255,90.0
33172.0,21,25,0,150,60,94.83165,90.0
33871.0,22,25,0,150,60,100.184235,90.0
34571.0,23,25,0,150,60,111.09882,90.0
35255.0,24,25,0,150,60,115.62439,90.0
35834.0,25,25,0,150,60,141.36914,90.0
36667.0,26,25,1,270,60,261.55054,210.0
37268.0,27,25,1,270,60,218.9152,210.0
38969.0,28,25,1,270,60,604.0219,210.0
40936.0,29,25,1,270,60,674.55493,210.0
42053.0,30,25,1,270,60,229.27548,210.0
43024.0,31,25,1,270,60,211.45834,210.0
44157.0,32,25,1,270,60,261.7389,210.0
44908.0,33,25,1,270,60,259.7163,210.0
45741.0,34,25,1,270,60,257.6125,210.0
46791.0,35,25,1,270,60,328.10187,210.0
48757.0,36,25,1,270,60,600.56964,210.0
51313.0,37,25,1,270,60,561.8048,210.0
52263.0,38,25,1,270,60,231.291,210.0
52845.0,39,25,1,270,60,230.81865,210.0
53233.0,40,25,1,270,60,268.54178,210.0
55005.0,41,25,1,270,60,1244.7603,210.0
57144.0,42,25,1,270,60,845.95074,210.0
