2016,7,12,10,54
timestamp, trialCnt, blockWidth, block, diameter,targetwidth, totdist, optdist
479621.0,1,25,0,150,60,108.484215,90.0
482971.0,2,25,0,150,60,186.16162,90.0
484510.0,3,25,0,150,60,114.009796,90.0
486397.0,4,25,0,150,60,105.73354,90.0
488353.0,5,25,0,150,60,564.3622,90.0
489086.0,6,25,0,150,60,140.21794,90.0
491393.0,7,25,0,150,60,1927.1329,90.0
492077.0,8,25,0,150,60,166.33008,90.0
492710.0,9,25,0,150,60,143.99625,90.0
493293.0,10,25,0,150,60,146.7829,90.0
493875.0,11,25,0,150,60,124.401085,90.0
494425.0,12,25,0,150,60,93.80127,90.0
498681.0,13,25,0,150,60,678.88586,90.0
500741.0,14,25,0,150,60,631.82904,90.0
502210.0,15,25,0,150,60,251.80017,90.0
504143.0,16,25,0,150,60,317.52612,90.0
506828.0,17,25,0,150,60,277.52948,90.0
508382.0,18,25,0,150,60,529.84607,90.0
509799.0,19,25,0,150,60,214.76064,90.0
510955.0,20,25,0,150,60,113.93248,90.0
512021.0,21,25,0,150,60,128.64008,90.0
513808.0,22,25,0,150,60,254.9381,90.0
515280.0,23,25,0,150,60,638.6645,90.0
517667.0,24,25,0,150,60,339.59372,90.0
518988.0,25,25,0,150,60,110.52541,90.0
520789.0,26,25,1,270,60,590.6374,210.0
529288.0,27,25,1,270,60,1158.3713,210.0
541847.0,28,25,1,270,60,1109.9818,210.0
543316.0,29,25,1,270,60,261.27106,210.0
545638.0,30,25,1,270,60,538.482,210.0
547159.0,31,25,1,270,60,265.65533,210.0
548142.0,32,25,1,270,60,224.19022,210.0
550677.0,33,25,1,270,60,361.8168,210.0
554944.0,34,25,1,270,60,698.61066,210.0
567251.0,35,25,1,270,60,498.13605,210.0
568884.0,36,25,1,270,60,237.60779,210.0
573840.0,37,25,1,270,60,525.28815,210.0
575755.0,38,25,1,270,60,438.5944,210.0
589340.0,39,25,1,270,60,549.0481,210.0
590824.0,40,25,1,270,60,228.37457,210.0
604508.0,41,25,1,270,60,248.92987,210.0
606727.0,42,25,1,270,60,425.02493,210.0
608909.0,43,25,1,270,60,665.49133,210.0
610325.0,44,25,1,270,60,223.15392,210.0
611458.0,45,25,1,270,60,219.17657,210.0
612509.0,46,25,1,270,60,227.77016,210.0
613692.0,47,25,1,270,60,239.43155,210.0
614959.0,48,25,1,270,60,251.81198,210.0
618510.0,49,25,1,270,60,622.97534,210.0
619875.0,50,25,1,270,60,249.04045,210.0
623868.0,51,25,2,390,60,1186.2441,330.0
839564.0,52,25,2,390,60,2148.0398,330.0
904312.0,53,25,2,390,60,1710.7578,330.0
905447.0,54,25,2,390,60,321.44647,330.0
906429.0,55,25,2,390,60,362.51886,330.0
907277.0,56,25,2,390,60,339.14728,330.0
908164.0,57,25,2,390,60,343.6781,330.0
910335.0,58,25,2,390,60,532.8049,330.0
912617.0,59,25,2,390,60,782.62537,330.0
913700.0,60,25,2,390,60,1047.3795,330.0
914767.0,61,25,2,390,60,352.96252,330.0
918864.0,62,25,2,390,60,839.13684,330.0
920431.0,63,25,2,390,60,1035.139,330.0
921538.0,64,25,2,390,60,337.7285,330.0
922987.0,65,25,2,390,60,347.37842,330.0
928140.0,66,25,2,390,60,688.05707,330.0
930016.0,67,25,2,390,60,395.08136,330.0
1145448.0,68,25,2,390,60,3406.5103,330.0
1148063.0,69,25,2,390,60,1157.5074,330.0
1148897.0,70,25,2,390,60,521.3064,330.0
1150897.0,71,25,2,390,60,1353.7268,330.0
1158166.0,72,25,2,390,60,614.17957,330.0
1161825.0,73,25,2,390,60,347.46826,330.0
1163927.0,74,25,2,390,60,347.66772,330.0
1166011.0,75,25,2,390,60,341.31723,330.0
1168811.0,76,25,3,510,60,818.04047,450.0
1247372.0,77,25,3,510,60,488.45932,450.0
1250288.0,78,25,3,510,60,465.36987,450.0
1254864.0,79,25,3,510,60,486.50235,450.0
1259547.0,80,25,3,510,60,479.74863,450.0
1261269.0,81,25,3,510,60,432.14096,450.0
