2016,7,26,9,37
timestamp, trialCnt, blockWidth, block, diameter,targetwidth, totdist, optdist, diff, turnx, turny
22727.0,1,50,0,150,60,139.17484,90.0,49.174835,847,391
24078.0,2,50,0,150,60,111.32836,90.0,21.328362,834,429
25928.0,3,50,0,150,60,130.00864,90.0,40.008636,837,404
27211.0,4,50,0,150,60,117.45184,90.0,27.451843,841,429
28461.0,5,50,0,150,60,105.47285,90.0,15.472847,838,435
30237.0,6,50,0,150,60,119.63005,90.0,29.63005,844,409
31720.0,7,50,0,150,60,123.166595,90.0,33.166595,828,421
34188.0,8,50,0,150,60,156.47162,90.0,66.47162,845,410
36821.0,9,50,0,150,60,176.51587,90.0,86.51587,828,400
38238.0,10,50,0,150,60,122.795586,90.0,32.795586,827,422
39469.0,11,50,0,150,60,106.707756,90.0,16.707756,840,427
40553.0,12,50,0,150,60,126.020546,90.0,36.020546,831,407
41505.0,13,50,0,150,60,119.103645,90.0,29.103645,835,409
42406.0,14,50,0,150,60,149.6656,90.0,59.665604,824,380
46400.0,15,50,0,150,60,453.41742,90.0,363.41742,835,397
47733.0,16,50,0,150,60,182.78537,90.0,92.78537,835,428
48732.0,17,50,0,150,60,102.95683,90.0,12.956833,839,425
50933.0,18,50,0,150,60,141.67203,90.0,51.672028,840,390
52040.0,19,50,0,150,60,140.63838,90.0,50.638382,833,394
52840.0,20,50,0,150,60,149.86217,90.0,59.862167,836,381
54458.0,21,50,0,150,60,127.07275,90.0,37.072746,826,417
55677.0,22,50,0,150,60,106.685646,90.0,16.685646,831,424
57096.0,23,50,0,150,60,129.03278,90.0,39.032776,835,414
58312.0,24,50,0,150,60,143.25912,90.0,53.259125,833,413
59701.0,25,50,0,150,60,122.35279,90.0,32.35279,825,427
61188.0,26,50,0,150,60,148.30255,90.0,58.30255,835,414
62154.0,27,50,0,150,60,142.53485,90.0,52.53485,824,413
63253.0,28,50,0,150,60,173.5622,90.0,83.562195,814,396
64637.0,29,50,0,150,60,195.64693,90.0,105.64693,824,418
65771.0,30,50,0,150,60,139.71468,90.0,49.714676,826,418
67056.0,31,50,0,150,60,122.670845,90.0,32.670845,827,422
68106.0,32,50,0,150,60,106.848175,90.0,16.848175,821,430
69188.0,33,50,0,150,60,151.13466,90.0,61.13466,816,405
70190.0,34,50,0,150,60,146.85092,90.0,56.85092,826,421
71105.0,35,50,0,150,60,118.916534,90.0,28.916534,830,424
72172.0,36,50,0,150,60,130.0007,90.0,40.0007,815,436
73371.0,37,50,0,150,60,133.8179,90.0,43.8179,832,419
74255.0,38,50,0,150,60,152.97389,90.0,62.973892,818,410
75222.0,39,50,0,150,60,168.08214,90.0,78.08214,819,418
76301.0,40,50,0,150,60,168.87665,90.0,78.87665,819,409
77350.0,41,50,0,150,60,141.77089,90.0,51.77089,820,427
78283.0,42,50,0,150,60,164.41176,90.0,74.41176,811,427
80297.0,43,50,0,150,60,283.09113,90.0,193.09113,818,425
81095.0,44,50,0,150,60,182.25594,90.0,92.255936,811,409
82230.0,45,50,0,150,60,165.55418,90.0,75.554184,822,415
83680.0,46,50,0,150,60,140.38098,90.0,50.38098,828,417
84614.0,47,50,0,150,60,200.15327,90.0,110.153275,805,425
85745.0,48,50,0,150,60,231.38928,90.0,141.38928,825,401
86813.0,49,50,0,150,60,169.1236,90.0,79.1236,826,416
87846.0,50,50,0,150,60,165.89723,90.0,75.89723,817,428
91380.0,51,50,1,270,60,501.10785,210.0,291.10785,781,281
92630.0,52,50,1,270,60,288.38803,210.0,78.38803,797,283
93967.0,53,50,1,270,60,273.40787,210.0,63.407867,798,278
95084.0,54,50,1,270,60,299.21368,210.0,89.213684,803,290
96167.0,55,50,1,270,60,263.7446,210.0,53.7446,791,293
97500.0,56,50,1,270,60,271.32965,210.0,61.32965,792,295
98736.0,57,50,1,270,60,262.0753,210.0,52.075287,779,290
99769.0,58,50,1,270,60,266.49475,210.0,56.49475,794,293
100937.0,59,50,1,270,60,286.52765,210.0,76.52765,782,276
101905.0,60,50,1,270,60,281.10342,210.0,71.103424,791,269
102937.0,61,50,1,270,60,269.1932,210.0,59.193207,796,273
104556.0,62,50,1,270,60,268.26218,210.0,58.262177,779,271
105740.0,63,50,1,270,60,306.3913,210.0,96.3913,805,260
112305.0,64,50,1,270,60,1422.054,210.0,1212.054,776,269
113708.0,65,50,1,270,60,293.05902,210.0,83.05902,799,281
114959.0,66,50,1,270,60,275.0633,210.0,65.06329,804,279
116313.0,67,50,1,270,60,265.7254,210.0,55.725403,801,285
117164.0,68,50,1,270,60,254.51495,210.0,44.514954,797,279
