2016,8,23,14,11
timestamp, trialNum, blockWidth, reach, leftprob, subjpos, Rightorwrong, rpos, forageDist, totDist, optdist, diff, score
21297,1,50,2.0,0.75,1,1.0,1,835.5655,1714.9622,689.69934,1025.2628,120
22193,2,50,2.0,0.75,1,1.0,1,921.6944,1871.7424,689.69934,1182.0431,231
23406,3,50,2.0,0.75,1,1.0,1,883.8213,2053.7764,689.69934,1364.077,331
37739,4,50,2.0,0.75,1,0.0,2,2445.138,3394.6008,392.19568,3002.4053,331
39488,5,50,2.0,0.75,1,1.0,1,920.7475,2075.7825,689.69934,1386.0831,431
41470,6,50,2.0,0.75,1,0.0,2,2339.3152,3010.8496,392.19568,2618.6538,431
44933,7,50,2.0,0.75,1,0.0,2,2570.002,3238.222,392.19568,2846.0264,431
47245,8,50,2.0,0.75,2,0.0,1,2188.649,3123.9512,689.69934,2434.252,431
51703,9,50,2.0,0.75,1,0.0,2,2337.725,2876.5962,392.19568,2484.4004,431
54325,10,50,2.0,0.75,2,0.0,1,2268.937,3175.4712,689.69934,2485.772,431
55660,11,50,2.0,0.75,1,1.0,1,961.46716,2229.123,689.69934,1539.4237,524
56704,12,50,2.0,0.75,1,1.0,1,848.77814,2034.0024,689.69934,1344.3031,626
57986,13,50,2.0,0.75,1,1.0,1,845.2273,1663.7786,689.69934,974.0792,750
59080,14,50,2.0,0.75,1,1.0,1,806.8243,1831.706,689.69934,1142.0067,863
61570,15,50,2.0,0.75,1,1.0,1,1151.8252,2019.5223,689.69934,1329.823,965
66395,16,50,2.0,0.75,1,0.0,2,3193.2725,3978.6545,392.19568,3586.459,965
71092,17,50,2.0,0.75,1,1.0,1,805.69867,1663.5034,689.69934,973.8041,1090
77502,18,50,2.0,0.75,1,0.0,2,3026.8975,4173.347,392.19568,3781.1514,1090
79767,19,50,2.0,0.75,2,0.0,1,2702.844,3675.8691,689.69934,2986.17,1090
80762,20,50,2.0,0.75,1,1.0,1,1335.7723,2152.3384,689.69934,1462.639,1186
81496,21,50,2.0,0.75,1,1.0,1,954.01514,2121.4355,689.69934,1431.7362,1283
83395,22,50,2.0,0.75,1,0.0,2,3238.5034,3841.1135,392.19568,3448.918,1283
