2016,8,19,13,41
timestamp, trialNum, blockWidth, reach, leftprob, subjpos, Rightorwrong, rpos, forageDist, totDist, optdist, diff, score
55503,1,50,1.0,0.75,1,0.0,2,2206.3533,2831.8733,392.19568,2439.6777,0
58002,2,50,1.0,0.75,2,0.0,1,2329.2622,3123.3997,392.19568,2731.204,0
58652,3,50,1.0,0.75,1,1.0,1,614.23114,1529.968,392.19568,1137.7723,76
60388,4,50,1.0,0.75,1,0.0,2,1904.7754,2623.887,392.19568,2231.6914,76
62838,5,50,1.0,0.75,2,0.0,1,1747.5243,2500.239,392.19568,2108.0435,76
65889,6,50,1.0,0.75,2,0.0,1,1550.9252,2171.184,392.19568,1778.9884,76
69646,7,50,1.0,0.75,1,0.0,2,1949.9226,2413.5903,392.19568,2021.3947,76
72607,8,50,1.0,0.75,2,1.0,2,532.30804,2138.2258,392.19568,1746.0302,131
74944,9,50,1.0,0.75,2,0.0,1,2306.8726,2954.0825,392.19568,2561.8867,131
75873,10,50,1.0,0.75,1,1.0,1,587.739,1485.2715,392.19568,1093.0758,211
76757,11,50,1.0,0.75,1,1.0,1,542.6778,1287.016,392.19568,894.8203,302
77477,12,50,1.0,0.75,1,1.0,1,511.0299,1294.758,392.19568,902.5624,393
78124,13,50,1.0,0.75,1,1.0,1,601.93304,1804.7771,392.19568,1412.5814,458
79107,14,50,1.0,0.75,1,1.0,1,746.564,1513.8864,392.19568,1121.6907,536
80074,15,50,1.0,0.75,1,1.0,1,609.4339,1333.5991,392.19568,941.40344,624
80709,16,50,1.0,0.75,1,1.0,1,601.23926,1234.0947,392.19568,841.89905,719
81459,17,50,1.0,0.75,1,1.0,1,554.7616,1281.7487,392.19568,889.553,811
83891,18,50,1.0,0.75,1,0.0,2,2066.9202,2782.3738,392.19568,2390.1782,811
85707,19,50,1.0,0.75,2,0.0,1,1732.8341,2404.9421,392.19568,2012.7465,811
87445,20,50,1.0,0.75,1,0.0,2,2366.7605,2893.4448,392.19568,2501.249,811
89434,21,50,1.0,0.75,2,0.0,1,1803.6305,2419.4355,392.19568,2027.2399,811
91969,22,50,1.0,0.75,2,0.0,1,2070.9368,2789.95,392.19568,2397.7544,811
93919,23,50,1.0,0.75,2,1.0,2,700.51215,1350.8247,392.19568,958.629,898
96187,24,50,1.0,0.75,2,0.0,1,1879.5442,2496.396,392.19568,2104.2002,898
97370,25,50,1.0,0.75,2,1.0,2,545.6275,1112.9973,392.19568,720.80164,1004
99236,26,50,1.0,0.75,2,0.0,1,1944.5012,2523.9736,392.19568,2131.7778,1004
101002,27,50,1.0,0.75,2,0.0,1,2175.4038,3147.7173,392.19568,2755.5215,1004
101653,28,50,1.0,0.75,1,1.0,1,482.8121,1542.9805,392.19568,1150.7848,1080
103441,29,50,1.0,0.75,1,0.0,2,1920.818,2520.6277,392.19568,2128.4321,1080
104609,30,50,1.0,0.75,1,1.0,1,949.9995,1594.6023,392.19568,1202.4066,1154
106511,31,50,1.0,0.75,1,1.0,1,627.0397,2446.3022,392.19568,2054.1064,1202
108076,32,50,1.0,0.75,1,1.0,1,531.47546,1234.0942,392.19568,841.89856,1298
110542,33,50,1.0,0.75,2,0.0,1,2129.4895,2691.495,392.19568,2299.2993,1298
111592,34,50,1.0,0.75,1,1.0,1,949.32416,1497.5579,392.19568,1105.3622,1376
112406,35,50,1.0,0.75,1,1.0,1,770.99695,1756.0697,392.19568,1363.874,1443
113207,36,50,1.0,0.75,1,1.0,1,602.2793,1270.8807,392.19568,878.68506,1536
114175,37,50,1.0,0.75,1,1.0,1,494.3853,1021.816,392.19568,629.6203,1651
114902,38,50,1.0,0.75,1,1.0,1,796.28076,1672.7651,392.19568,1280.5695,1721
115602,39,50,1.0,0.75,1,1.0,1,597.9092,1520.784,392.19568,1128.5884,1799
116177,40,50,1.0,0.75,1,1.0,1,495.0354,985.9791,392.19568,593.78345,1918
117053,41,50,1.0,0.75,1,1.0,1,1024.1766,1476.9363,392.19568,1084.7406,1998
120310,42,50,1.0,0.75,1,0.0,2,1969.6758,2566.0608,392.19568,2173.8652,1998
123005,43,50,1.0,0.75,2,0.0,1,2030.5557,2592.7937,392.19568,2200.5981,1998
123753,44,50,1.0,0.75,1,1.0,1,504.56863,1359.8264,392.19568,967.63074,2084
124537,45,50,1.0,0.75,1,1.0,1,778.012,1615.6349,392.19568,1223.4392,2157
125136,46,50,1.0,0.75,1,1.0,1,647.1983,1366.1584,392.19568,973.96277,2243
125953,47,50,1.0,0.75,1,1.0,1,587.47614,1275.573,392.19568,883.3773,2335
126690,48,50,1.0,0.75,1,1.0,1,535.8097,1483.7174,392.19568,1091.5217,2415
127709,49,50,1.0,0.75,1,1.0,1,562.22736,1263.7983,392.19568,871.60266,2508
128374,50,50,1.0,0.75,1,1.0,1,599.4656,1382.0159,392.19568,989.8202,2593
129190,51,50,1.0,0.9,1,1.0,1,478.71478,1105.8401,392.19568,713.6444,2699
130174,52,50,1.0,0.9,1,1.0,1,479.87466,1411.8739,392.19568,1019.6782,2782
130707,53,50,1.0,0.9,1,1.0,1,605.2592,1424.9602,392.19568,1032.7645,2865
131341,54,50,1.0,0.9,1,1.0,1,532.86005,1394.6172,392.19568,1002.4215,2949
132057,55,50,1.0,0.9,1,1.0,1,764.1055,1296.7864,392.19568,904.5907,3040
