2016,3,6,13,34
timestamp, trialCnt, blockWidth, trialstate, x0,y0, ringnumbers ,diameter, ringdist, direc, mousex, mousey
9680.0,1,20,0,840.0,525.0,0,60.0,1,816,534
17500.0,1,20,1,840.0,525.0,2,60.0,1,845,507
22636.0,1,20,2,840.0,525.0,4,780.0,1,846,296
24409.0,1,20,3,840.0,525.0,6,780.0,1,844,172
26273.0,1,20,4,840.0,525.0,4,780.0,-1,850,300
27691.0,1,20,5,840.0,525.0,2,780.0,-1,858,405
29105.0,1,20,6,840.0,525.0,0,780.0,-1,848,500
31057.0,2,20,1,840.0,525.0,2,780.0,1,851,401
33882.0,2,20,2,840.0,525.0,4,780.0,1,859,279
35212.0,2,20,3,840.0,525.0,6,780.0,1,852,193
38209.0,2,20,4,840.0,525.0,4,780.0,-1,845,285
39824.0,2,20,5,840.0,525.0,2,780.0,-1,806,433
41841.0,2,20,6,840.0,525.0,0,780.0,-1,838,539
44655.0,3,20,1,840.0,525.0,2,780.0,1,822,416
48556.0,3,20,2,840.0,525.0,4,780.0,1,861,273
50008.0,3,20,3,840.0,525.0,6,780.0,1,846,174
53483.0,3,20,4,840.0,525.0,4,780.0,-1,836,300
55319.0,3,20,5,840.0,525.0,2,780.0,-1,845,412
56956.0,3,20,6,840.0,525.0,0,780.0,-1,859,521
58915.0,4,20,1,840.0,525.0,2,780.0,1,826,417
60730.0,4,20,2,840.0,525.0,4,780.0,1,785,302
62555.0,4,20,3,840.0,525.0,6,780.0,1,803,162
64386.0,4,20,4,840.0,525.0,4,780.0,-1,840,293
66201.0,4,20,5,840.0,525.0,2,780.0,-1,858,407
68473.0,4,20,6,840.0,525.0,0,780.0,-1,855,533
70307.0,5,20,1,840.0,525.0,2,780.0,1,829,425
72055.0,5,20,2,840.0,525.0,4,780.0,1,826,304
73960.0,5,20,3,840.0,525.0,6,780.0,1,809,175
75735.0,5,20,4,840.0,525.0,4,780.0,-1,858,293
78050.0,5,20,5,840.0,525.0,2,780.0,-1,841,416
80203.0,5,20,6,840.0,525.0,0,780.0,-1,837,528
82137.0,6,20,1,840.0,525.0,2,780.0,1,816,421
84026.0,6,20,2,840.0,525.0,4,780.0,1,804,292
85696.0,6,20,3,840.0,525.0,6,780.0,1,795,180
87416.0,6,20,4,840.0,525.0,4,780.0,-1,816,294
88917.0,6,20,5,840.0,525.0,2,780.0,-1,838,390
90496.0,6,20,6,840.0,525.0,0,780.0,-1,837,515
93390.0,7,20,1,840.0,525.0,2,780.0,1,851,378
