5674,2.3
5674,62.41
5674,62.41
5674,62.3
5674,62.3
5674,62.3
5674,62.41
5674,62.41
5674,62.42
5674,NaN
7934,62.58
7951,62.32
7966,62.39
7987,62.42
8023,62.42
8041,62.54
8057,62.41
8074,62.53
8110,62.54
8124,62.44
8142,62.44
8158,62.44
8176,62.44
8207,62.44
8223,62.44
8242,62.44
8257,62.44
8290,62.44
8310,62.46
8324,62.44
8340,62.44
8376,62.44
8389,62.44
8408,62.44
8424,62.44
8440,62.44
8474,62.44
8491,62.44
8507,62.54
8525,62.54
8561,62.54
8575,62.54
8594,62.44
8607,62.42
8640,62.87
8659,62.3
8674,62.54
8711,62.41
8724,62.42
8741,62.3
8774,62.3
8791,62.54
8808,62.42
8824,62.54
8858,62.44
8874,62.42
8894,62.44
8908,62.42
8925,62.44
8941,62.54
8977,62.51
8990,62.44
9009,62.44
9026,62.44
9041,62.44
9074,62.54
9091,62.15
9107,62.56
9126,62.46
9140,62.44
9158,62.44
9174,62.44
9208,62.54
9227,62.59
9240,62.96
9258,62.54
9276,62.65
9290,62.29
9309,62.7
9324,63.06
9341,63.06
9358,62.73
9374,63.11
9391,62.29
9409,62.84
9423,62.71
9440,62.84
9458,62.73
9474,62.85
9492,62.75
9507,62.73
9540,62.85
9557,62.73
9574,62.85
9592,62.78
9592,62.89
9607,63.26
9641,62.85
9657,62.94
9677,62.84
9677,62.53
9694,62.84
9711,62.94
9728,63.3
9760,63.3
9779,63.01
9794,63.35
9812,63.04
9812,62.53
9844,62.63
9862,62.53
9878,63.04
9895,62.53
9910,62.63
9929,62.94
9944,62.96
9961,63.37
9979,63.37
9994,63.47
10011,63.37
10027,63.06
10044,62.94
10062,63.37
10078,63.45
10095,63.37
10112,63.47
10130,63.37
10146,62.47
10161,62.58
10177,62.47
10196,62.58
10210,62.47
10228,62.99
10244,63.3
10262,63.35
10277,62.42
10294,62.85
10311,62.96
10327,62.85
10344,62.94
10362,62.84
10379,62.96
10395,62.84
10410,62.44
10429,62.44
10444,62.42
10460,62.54
10477,62.42
10494,62.54
10511,62.84
10528,62.94
10543,62.84
10580,62.54
10580,62.85
10613,62.53
10613,62.42
10628,62.54
10644,62.44
10661,62.42
10695,62.96
10713,62.42
10729,62.54
10745,62.85
10762,62.53
10762,62.44
10795,62.84
10815,62.84
10829,62.42
10846,62.54
10862,62.42
10880,62.54
10896,62.44
10912,62.96
10929,62.84
10947,62.94
10962,62.84
10979,62.42
10995,62.49
11012,62.42
11030,62.53
11048,62.84
11063,62.54
11081,62.42
11095,62.54
11112,62.42
11129,62.53
11145,62.84
11163,62.85
11178,62.94
11197,62.84
11212,62.94
11229,62.84
11246,62.94
11262,62.42
11280,62.84
11296,62.96
11312,62.84
11328,62.96
11346,62.85
11362,62.94
11380,62.84
11396,62.84
11411,62.84
11429,62.42
11445,62.53
11463,62.42
11479,62.53
11513,63.25
11513,62.89
11546,62.78
11546,62.49
11562,62.78
11579,63.2
11611,62.84
11630,62.3
11648,62.84
11648,62.71
11679,62.42
11698,63.14
11698,62.3
11728,62.84
11747,63.14
11765,63.25
11778,62.73
11795,62.32
11812,63.25
11831,62.32
11849,62.84
11865,62.73
11882,62.73
11901,62.84
11901,63.14
11932,62.78
11950,62.27
11966,63.2
11982,63.09
11999,62.63
12015,63.14
12032,63.04
12051,62.66
12064,62.56
12082,62.97
12098,62.61
12115,62.51
12132,62.51
12148,62.61
12166,62.51
