2016,7,12,10,54
timestamp, trialcnt, block, diameter, mousex, mousey
452982.0,0,0,150,60,839,525
452996.0,0,0,150,60,839,525
453015.0,0,0,150,60,839,525
453031.0,0,0,150,60,839,525
453047.0,0,0,150,60,839,525
453063.0,0,0,150,60,839,525
453081.0,0,0,150,60,839,525
453098.0,0,0,150,60,839,525
453115.0,0,0,150,60,839,525
453129.0,0,0,150,60,839,525
453147.0,0,0,150,60,839,525
453164.0,0,0,150,60,839,525
453181.0,0,0,150,60,839,525
453197.0,0,0,150,60,839,525
453216.0,0,0,150,60,839,525
453230.0,0,0,150,60,839,525
453246.0,0,0,150,60,839,525
453265.0,0,0,150,60,839,525
453280.0,0,0,150,60,839,525
453296.0,0,0,150,60,839,525
453313.0,0,0,150,60,839,525
453330.0,0,0,150,60,839,525
453348.0,0,0,150,60,839,525
453365.0,0,0,150,60,839,525
453381.0,0,0,150,60,839,525
453399.0,0,0,150,60,839,525
453414.0,0,0,150,60,839,525
453432.0,0,0,150,60,839,525
453447.0,0,0,150,60,839,525
453464.0,0,0,150,60,839,525
453481.0,0,0,150,60,839,525
453499.0,0,0,150,60,839,525
453515.0,0,0,150,60,839,525
453529.0,0,0,150,60,839,525
453548.0,0,0,150,60,839,525
453563.0,0,0,150,60,839,525
453580.0,0,0,150,60,839,525
453597.0,0,0,150,60,839,525
453615.0,0,0,150,60,839,525
453632.0,0,0,150,60,839,525
453650.0,0,0,150,60,839,525
453667.0,0,0,150,60,839,525
453684.0,0,0,150,60,839,525
453702.0,0,0,150,60,839,525
453717.0,0,0,150,60,839,525
453734.0,0,0,150,60,839,525
453752.0,0,0,150,60,839,525
453768.0,0,0,150,60,839,525
453785.0,0,0,150,60,839,525
453801.0,0,0,150,60,839,525
453818.0,0,0,150,60,839,525
453835.0,0,0,150,60,839,525
453850.0,0,0,150,60,839,525
453868.0,0,0,150,60,839,525
453884.0,0,0,150,60,839,525
453902.0,0,0,150,60,839,525
453917.0,0,0,150,60,839,525
453934.0,0,0,150,60,839,525
453951.0,0,0,150,60,839,525
453969.0,0,0,150,60,839,525
453984.0,0,0,150,60,839,525
454002.0,0,0,150,60,839,525
454017.0,0,0,150,60,839,525
454036.0,0,0,150,60,839,525
454050.0,0,0,150,60,839,525
454068.0,0,0,150,60,839,525
454085.0,0,0,150,60,839,525
454101.0,0,0,150,60,839,525
454119.0,0,0,150,60,839,525
454133.0,0,0,150,60,839,525
454152.0,0,0,150,60,839,525
454170.0,0,0,150,60,839,525
454184.0,0,0,150,60,839,525
454201.0,0,0,150,60,839,525
454218.0,0,0,150,60,839,525
454233.0,0,0,150,60,839,525
454251.0,0,0,150,60,839,525
454269.0,0,0,150,60,839,525
454285.0,0,0,150,60,839,525
454300.0,0,0,150,60,839,525
454317.0,0,0,150,60,839,525
454334.0,0,0,150,60,839,525
454352.0,0,0,150,60,839,525
454367.0,0,0,150,60,839,525
454383.0,0,0,150,60,839,525
454400.0,0,0,150,60,839,525
454418.0,0,0,150,60,839,525
454433.0,0,0,150,60,839,525
454451.0,0,0,150,60,839,525
454468.0,0,0,150,60,839,525
454485.0,0,0,150,60,839,525
454501.0,0,0,150,60,839,525
454519.0,0,0,150,60,839,525
454534.0,0,0,150,60,839,525
454552.0,0,0,150,60,839,525
454567.0,0,0,150,60,839,525
454585.0,0,0,150,60,839,525
454601.0,0,0,150,60,839,525
454619.0,0,0,150,60,839,525
454633.0,0,0,150,60,839,525
454652.0,0,0,150,60,839,525
454668.0,0,0,150,60,839,525
454684.0,0,0,150,60,839,525
454703.0,0,0,150,60,839,525
454718.0,0,0,150,60,839,525
454735.0,0,0,150,60,839,525
454752.0,0,0,150,60,839,525
454766.0,0,0,150,60,839,525
454785.0,0,0,150,60,839,525
454801.0,0,0,150,60,839,525
454817.0,0,0,150,60,839,525
454834.0,0,0,150,60,839,525
454851.0,0,0,150,60,839,525
454869.0,0,0,150,60,839,525
454885.0,0,0,150,60,839,525
454902.0,0,0,150,60,839,525
454918.0,0,0,150,60,839,525
454934.0,0,0,150,60,839,525
454950.0,0,0,150,60,839,525
454978.0,0,0,150,60,839,525
454997.0,0,0,150,60,839,525
455013.0,0,0,150,60,839,525
455030.0,0,0,150,60,839,525
455045.0,0,0,150,60,839,525
455063.0,0,0,150,60,839,525
455080.0,0,0,150,60,839,525
455095.0,0,0,150,60,839,525
455112.0,0,0,150,60,839,525
455130.0,0,0,150,60,839,525
455145.0,0,0,150,60,839,525
455161.0,0,0,150,60,839,525
455178.0,0,0,150,60,839,525
455195.0,0,0,150,60,839,525
455211.0,0,0,150,60,839,525
455229.0,0,0,150,60,839,525
455246.0,0,0,150,60,839,525
455263.0,0,0,150,60,839,525
455278.0,0,0,150,60,839,525
455297.0,0,0,150,60,839,525
455312.0,0,0,150,60,839,525
455331.0,0,0,150,60,839,525
455345.0,0,0,150,60,839,525
455362.0,0,0,150,60,839,525
455379.0,0,0,150,60,839,525
455395.0,0,0,150,60,839,525
455414.0,0,0,150,60,839,525
455429.0,0,0,150,60,839,525
455445.0,0,0,150,60,839,525
455462.0,0,0,150,60,839,525
455478.0,0,0,150,60,839,525
455496.0,0,0,150,60,839,525
455513.0,0,0,150,60,839,525
455528.0,0,0,150,60,839,525
455545.0,0,0,150,60,839,525
455563.0,0,0,150,60,839,525
455579.0,0,0,150,60,839,525
455595.0,0,0,150,60,839,525
455612.0,0,0,150,60,839,525
455629.0,0,0,150,60,839,525
455647.0,0,0,150,60,839,525
455664.0,0,0,150,60,839,525
455678.0,0,0,150,60,839,525
455695.0,0,0,150,60,839,525
455712.0,0,0,150,60,839,525
455728.0,0,0,150,60,839,525
455746.0,0,0,150,60,839,525
455763.0,0,0,150,60,839,525
455780.0,0,0,150,60,839,525
455795.0,0,0,150,60,839,525
455812.0,0,0,150,60,839,525
455830.0,0,0,150,60,839,525
455845.0,0,0,150,60,839,525
455862.0,0,0,150,60,839,525
455879.0,0,0,150,60,839,525
455896.0,0,0,150,60,839,525
