2016,7,8,11,32
timestamp, trialcnt, block, diameter, mousex, mousey
6836.0,2,0,150,60,838,519
6854.0,2,0,150,60,838,519
6869.0,2,0,150,60,838,520
6885.0,2,0,150,60,838,520
6902.0,2,0,150,60,838,520
6919.0,2,0,150,60,838,520
6936.0,2,0,150,60,838,520
6953.0,2,0,150,60,838,520
6970.0,2,0,150,60,838,519
6986.0,2,0,150,60,838,517
7002.0,2,0,150,60,838,514
7018.0,2,0,150,60,836,508
7036.0,2,0,150,60,835,502
7054.0,2,0,150,60,835,490
7068.0,2,0,150,60,833,477
7086.0,2,0,150,60,832,469
7103.0,2,0,150,60,831,467
7119.0,2,0,150,60,831,463
7136.0,2,0,150,60,830,456
7153.0,2,0,150,60,830,447
7170.0,2,0,150,60,830,441
7186.0,2,0,150,60,830,428
7203.0,2,0,150,60,830,417
7219.0,2,0,150,60,830,408
7270.0,3,0,150,60,830,406
7285.0,3,0,150,60,840,525
7303.0,3,0,150,60,840,525
7319.0,3,0,150,60,840,525
7337.0,3,0,150,60,840,525
7353.0,3,0,150,60,840,525
7370.0,3,0,150,60,840,525
7386.0,3,0,150,60,840,525
7402.0,3,0,150,60,840,525
7418.0,3,0,150,60,840,525
7436.0,3,0,150,60,840,525
7453.0,3,0,150,60,840,525
7470.0,3,0,150,60,840,525
7485.0,3,0,150,60,840,525
7504.0,3,0,150,60,840,525
7519.0,3,0,150,60,840,525
7537.0,3,0,150,60,840,525
7552.0,3,0,150,60,840,525
7570.0,3,0,150,60,840,525
7586.0,3,0,150,60,840,525
7603.0,3,0,150,60,840,525
7618.0,3,0,150,60,840,525
7637.0,3,0,150,60,840,525
7653.0,3,0,150,60,840,525
7669.0,3,0,150,60,840,525
7685.0,3,0,150,60,840,525
7704.0,3,0,150,60,840,525
7719.0,3,0,150,60,840,525
7736.0,3,0,150,60,840,525
7751.0,3,0,150,60,840,525
7770.0,3,0,150,60,840,525
7786.0,3,0,150,60,840,525
7804.0,3,0,150,60,840,525
7818.0,3,0,150,60,840,525
7837.0,3,0,150,60,840,525
7852.0,3,0,150,60,840,523
7871.0,3,0,150,60,837,515
7887.0,3,0,150,60,836,508
7903.0,3,0,150,60,830,485
7919.0,3,0,150,60,822,456
7939.0,3,0,150,60,811,426
7952.0,3,0,150,60,808,418
7971.0,3,0,150,60,806,412
8020.0,4,0,150,60,806,412
8037.0,4,0,150,60,840,525
8052.0,4,0,150,60,840,525
8071.0,4,0,150,60,840,525
8085.0,4,0,150,60,840,525
8104.0,4,0,150,60,840,525
8119.0,4,0,150,60,840,525
8137.0,4,0,150,60,840,525
8152.0,4,0,150,60,840,525
8171.0,4,0,150,60,840,525
8187.0,4,0,150,60,840,525
8203.0,4,0,150,60,840,525
8218.0,4,0,150,60,840,525
8236.0,4,0,150,60,840,525
8253.0,4,0,150,60,840,525
8270.0,4,0,150,60,840,525
8285.0,4,0,150,60,840,525
8305.0,4,0,150,60,840,525
8320.0,4,0,150,60,840,525
8336.0,4,0,150,60,840,525
8352.0,4,0,150,60,840,525
8369.0,4,0,150,60,840,525
8386.0,4,0,150,60,840,525
8403.0,4,0,150,60,840,525
8418.0,4,0,150,60,840,525
8436.0,4,0,150,60,840,525
8453.0,4,0,150,60,839,525
8470.0,4,0,150,60,835,525
8486.0,4,0,150,60,829,528
8502.0,4,0,150,60,817,531
8520.0,4,0,150,60,788,536
8536.0,4,0,150,60,773,540
8553.0,4,0,150,60,736,546
8568.0,4,0,150,60,701,554
8586.0,4,0,150,60,685,556
8603.0,4,0,150,60,676,557
8619.0,4,0,150,60,673,557
8636.0,4,0,150,60,673,558
8653.0,4,0,150,60,673,558
8671.0,4,0,150,60,673,558
8687.0,4,0,150,60,673,558
8702.0,4,0,150,60,673,558
8721.0,4,0,150,60,673,558
8735.0,4,0,150,60,673,558
8752.0,4,0,150,60,673,558
8769.0,4,0,150,60,673,558
8787.0,4,0,150,60,673,558
8802.0,4,0,150,60,673,558
8821.0,4,0,150,60,673,558
8836.0,4,0,150,60,673,558
8852.0,4,0,150,60,673,558
8869.0,4,0,150,60,673,558
8886.0,4,0,150,60,673,558
8903.0,4,0,150,60,673,558
8920.0,4,0,150,60,673,558
8936.0,4,0,150,60,672,558
8953.0,4,0,150,60,661,564
8970.0,4,0,150,60,661,564
8987.0,4,0,150,60,650,570
9002.0,4,0,150,60,643,575
9019.0,4,0,150,60,630,582
9036.0,4,0,150,60,630,582
9052.0,4,0,150,60,630,582
9071.0,4,0,150,60,611,595
9086.0,4,0,150,60,611,595
9103.0,4,0,150,60,611,595
9121.0,4,0,150,60,611,595
9135.0,4,0,150,60,611,595
9152.0,4,0,150,60,611,595
9170.0,4,0,150,60,611,595
9186.0,4,0,150,60,611,595
9205.0,4,0,150,60,611,595
9220.0,4,0,150,60,611,595
9236.0,4,0,150,60,611,595
9254.0,4,0,150,60,611,595
9269.0,4,0,150,60,611,595
9287.0,4,0,150,60,611,595
9303.0,4,0,150,60,611,595
9319.0,4,0,150,60,611,595
9337.0,4,0,150,60,611,595
