timestamp, trialCnt, blockWidth, trialstate, diameter, ringdist, direc, mousex, mousey
22607.0,1,20,0,72.0,150.0,-1,852,530
22623.0,1,20,0,72.0,150.0,1,852,530
22641.0,1,20,0,72.0,150.0,1,852,530
22656.0,1,20,0,72.0,150.0,1,852,530
22674.0,1,20,0,72.0,150.0,1,852,530
22689.0,1,20,0,72.0,150.0,1,852,530
22707.0,1,20,0,72.0,150.0,1,852,530
22724.0,1,20,0,72.0,150.0,1,852,530
22741.0,1,20,0,72.0,150.0,1,852,530
22757.0,1,20,0,72.0,150.0,1,852,530
22774.0,1,20,0,72.0,150.0,1,852,530
22790.0,1,20,0,72.0,150.0,1,852,530
22808.0,1,20,0,72.0,150.0,1,852,530
22823.0,1,20,0,72.0,150.0,1,852,530
22840.0,1,20,0,72.0,150.0,1,852,530
22856.0,1,20,0,72.0,150.0,1,852,530
22874.0,1,20,0,72.0,150.0,1,852,530
22889.0,1,20,0,72.0,150.0,1,852,530
22908.0,1,20,0,72.0,150.0,1,852,530
22925.0,1,20,0,72.0,150.0,1,852,530
22940.0,1,20,0,72.0,150.0,1,852,530
22958.0,1,20,0,72.0,150.0,1,852,530
22974.0,1,20,0,72.0,150.0,1,852,530
22991.0,1,20,0,72.0,150.0,1,852,530
23007.0,1,20,0,72.0,150.0,1,852,530
23024.0,1,20,0,72.0,150.0,1,852,530
23039.0,1,20,0,72.0,150.0,1,852,530
23058.0,1,20,0,72.0,150.0,1,852,530
23074.0,1,20,0,72.0,150.0,1,852,530
23090.0,1,20,0,72.0,150.0,1,852,530
23108.0,1,20,0,72.0,150.0,1,852,530
23124.0,1,20,0,72.0,150.0,1,852,530
23140.0,1,20,0,72.0,150.0,1,852,530
23158.0,1,20,0,72.0,150.0,1,852,530
23174.0,1,20,0,72.0,150.0,1,852,530
23191.0,1,20,0,72.0,150.0,1,852,530
23207.0,1,20,0,72.0,150.0,1,852,530
23224.0,1,20,0,72.0,150.0,1,852,530
23240.0,1,20,0,72.0,150.0,1,852,530
23257.0,1,20,0,72.0,150.0,1,852,530
23274.0,1,20,0,72.0,150.0,1,852,530
23291.0,1,20,0,72.0,150.0,1,852,530
23307.0,1,20,0,72.0,150.0,1,852,530
23324.0,1,20,0,72.0,150.0,1,852,530
23339.0,1,20,0,72.0,150.0,1,852,530
23357.0,1,20,0,72.0,150.0,1,852,530
23375.0,1,20,0,72.0,150.0,1,852,530
23390.0,1,20,0,72.0,150.0,1,852,530
23407.0,1,20,0,72.0,150.0,1,852,530
23423.0,1,20,0,72.0,150.0,1,852,530
23441.0,1,20,0,72.0,150.0,1,852,530
23457.0,1,20,0,72.0,150.0,1,852,530
23474.0,1,20,0,72.0,150.0,1,852,530
23491.0,1,20,0,72.0,150.0,1,852,530
23507.0,1,20,0,72.0,150.0,1,852,530
23523.0,1,20,0,72.0,150.0,1,852,530
23539.0,1,20,0,72.0,150.0,1,852,530
23557.0,1,20,0,72.0,150.0,1,852,530
23575.0,1,20,0,72.0,150.0,1,852,530
23590.0,1,20,0,72.0,150.0,1,852,530
23606.0,1,20,0,72.0,150.0,1,852,530
23623.0,1,20,0,72.0,150.0,1,852,530
23640.0,1,20,0,72.0,150.0,1,852,530
23657.0,1,20,0,72.0,150.0,1,852,530
23672.0,1,20,0,72.0,150.0,1,852,530
23691.0,1,20,0,72.0,150.0,1,852,530
23708.0,1,20,0,72.0,150.0,1,852,530
23722.0,1,20,0,72.0,150.0,1,852,530
23742.0,1,20,0,72.0,150.0,1,852,530
23757.0,1,20,0,72.0,150.0,1,852,530
23772.0,1,20,0,72.0,150.0,1,852,530
23792.0,1,20,0,72.0,150.0,1,852,530
23807.0,1,20,0,72.0,150.0,1,852,530
23822.0,1,20,0,72.0,150.0,1,852,530
23841.0,1,20,0,72.0,150.0,1,852,530
23857.0,1,20,0,72.0,150.0,1,852,530
23874.0,1,20,0,72.0,150.0,1,852,530
23891.0,1,20,0,72.0,150.0,1,852,530
23907.0,1,20,0,72.0,150.0,1,852,530
23924.0,1,20,0,72.0,150.0,1,852,530
23940.0,1,20,0,72.0,150.0,1,852,530
23958.0,1,20,0,72.0,150.0,1,852,530
23973.0,1,20,0,72.0,150.0,1,852,530
23989.0,1,20,0,72.0,150.0,1,852,530
24008.0,1,20,0,72.0,150.0,1,852,530
24024.0,1,20,0,72.0,150.0,1,852,530
24041.0,1,20,0,72.0,150.0,1,852,530
24058.0,1,20,0,72.0,150.0,1,852,530
24072.0,1,20,0,72.0,150.0,1,852,530
24091.0,1,20,0,72.0,150.0,1,852,530
24105.0,1,20,0,72.0,150.0,1,852,530
24123.0,1,20,0,72.0,150.0,1,852,530
24142.0,1,20,0,72.0,150.0,1,852,530
24156.0,1,20,0,72.0,150.0,1,852,530
24173.0,1,20,0,72.0,150.0,1,852,530
24189.0,1,20,0,72.0,150.0,1,852,530
24208.0,1,20,0,72.0,150.0,1,852,530
24224.0,1,20,0,72.0,150.0,1,852,530
24240.0,1,20,0,72.0,150.0,1,852,530
24256.0,1,20,0,72.0,150.0,1,852,530
24274.0,1,20,0,72.0,150.0,1,852,530
24291.0,1,20,0,72.0,150.0,1,852,530
24307.0,1,20,0,72.0,150.0,1,852,530
24324.0,1,20,0,72.0,150.0,1,852,530
24340.0,1,20,0,72.0,150.0,1,852,530
24358.0,1,20,0,72.0,150.0,1,852,530
24374.0,1,20,0,72.0,150.0,1,852,530
24391.0,1,20,0,72.0,150.0,1,852,530
24408.0,1,20,0,72.0,150.0,1,852,530
24424.0,1,20,0,72.0,150.0,1,852,530
24439.0,1,20,0,72.0,150.0,1,852,530
24456.0,1,20,0,72.0,150.0,1,852,530
24473.0,1,20,0,72.0,150.0,1,852,530
24491.0,1,20,0,72.0,150.0,1,852,530
24507.0,1,20,0,72.0,150.0,1,852,530
24524.0,1,20,0,72.0,150.0,1,852,530
24539.0,1,20,0,72.0,150.0,1,852,530
24557.0,1,20,0,72.0,150.0,1,852,530
24572.0,1,20,0,72.0,150.0,1,852,530
24589.0,1,20,0,72.0,150.0,1,852,530
24608.0,1,20,0,72.0,150.0,1,852,530
24623.0,1,20,0,72.0,150.0,1,852,530
24639.0,1,20,0,72.0,150.0,1,852,530
24656.0,1,20,0,72.0,150.0,1,852,530
24674.0,1,20,0,72.0,150.0,1,852,530
24689.0,1,20,0,72.0,150.0,1,852,530
24709.0,1,20,0,72.0,150.0,1,852,530
24723.0,1,20,0,72.0,150.0,1,852,530
24741.0,1,20,0,72.0,150.0,1,852,530
24756.0,1,20,0,72.0,150.0,1,852,530
24774.0,1,20,0,72.0,150.0,1,852,530
24790.0,1,20,0,72.0,150.0,1,852,530
24806.0,1,20,0,72.0,150.0,1,852,530
24825.0,1,20,0,72.0,150.0,1,852,530
24840.0,1,20,0,72.0,150.0,1,852,530
24856.0,1,20,0,72.0,150.0,1,852,530
24872.0,1,20,0,72.0,150.0,1,852,530
24889.0,1,20,0,72.0,150.0,1,852,530
24908.0,1,20,0,72.0,150.0,1,852,530
24923.0,1,20,0,72.0,150.0,1,852,530
24940.0,1,20,0,72.0,150.0,1,852,530
24958.0,1,20,0,72.0,150.0,1,852,530
24972.0,1,20,0,72.0,150.0,1,852,530
24989.0,1,20,0,72.0,150.0,1,852,530
25009.0,1,20,0,72.0,150.0,1,852,530
25023.0,1,20,0,72.0,150.0,1,852,530
25042.0,1,20,0,72.0,150.0,1,852,530
25057.0,1,20,0,72.0,150.0,1,852,530
25073.0,1,20,0,72.0,150.0,1,852,530
25092.0,1,20,0,72.0,150.0,1,852,530
25108.0,1,20,0,72.0,150.0,1,852,530
25123.0,1,20,0,72.0,150.0,1,852,529
25141.0,1,20,0,72.0,150.0,1,852,523
25156.0,1,20,0,72.0,150.0,1,852,512
25174.0,1,20,0,72.0,150.0,1,852,502
25190.0,1,20,0,72.0,150.0,1,852,497
25207.0,1,20,0,72.0,150.0,1,852,492
25225.0,1,20,0,72.0,150.0,1,852,489
25239.0,1,20,0,72.0,150.0,1,852,489
25257.0,1,20,0,72.0,150.0,1,852,489
25272.0,1,20,0,72.0,150.0,1,852,489
25290.0,1,20,0,72.0,150.0,1,852,489
25306.0,1,20,0,72.0,150.0,1,852,486
25324.0,1,20,0,72.0,150.0,1,852,486
25341.0,1,20,0,72.0,150.0,1,852,486
25357.0,1,20,0,72.0,150.0,1,856,462
25372.0,1,20,0,72.0,150.0,1,856,462
25390.0,1,20,0,72.0,150.0,1,856,458
25406.0,1,20,0,72.0,150.0,1,856,453
25425.0,1,20,0,72.0,150.0,1,856,453
25440.0,1,20,0,72.0,150.0,1,856,453
25457.0,1,20,0,72.0,150.0,1,856,453
25474.0,1,20,0,72.0,150.0,1,856,453
25490.0,1,20,0,72.0,150.0,1,856,453
25506.0,1,20,0,72.0,150.0,1,856,453
25523.0,1,20,0,72.0,150.0,1,856,453
25541.0,1,20,0,72.0,150.0,1,856,453
25556.0,1,20,0,72.0,150.0,1,856,453
25574.0,1,20,0,72.0,150.0,1,856,453
25590.0,1,20,0,72.0,150.0,1,856,453
25606.0,1,20,0,72.0,150.0,1,856,453
25625.0,1,20,0,72.0,150.0,1,856,453
25641.0,1,20,0,72.0,150.0,1,856,453
25656.0,1,20,0,72.0,150.0,1,856,453
25675.0,1,20,0,72.0,150.0,1,856,453
25691.0,1,20,0,72.0,150.0,1,856,453
25706.0,1,20,0,72.0,150.0,1,856,453
25725.0,1,20,0,72.0,150.0,1,856,453
25740.0,1,20,0,72.0,150.0,1,856,453
25757.0,1,20,0,72.0,150.0,1,856,453
25775.0,1,20,0,72.0,150.0,1,856,453
25790.0,1,20,0,72.0,150.0,1,856,453
25806.0,1,20,0,72.0,150.0,1,856,453
25826.0,1,20,0,72.0,150.0,1,856,453
25839.0,1,20,0,72.0,150.0,1,856,453
25859.0,1,20,0,72.0,150.0,1,856,453
25875.0,1,20,0,72.0,150.0,1,856,453
25889.0,1,20,0,72.0,150.0,1,856,453
25908.0,1,20,0,72.0,150.0,1,856,453
25924.0,1,20,0,72.0,150.0,1,856,453
25940.0,1,20,0,72.0,150.0,1,856,453
25958.0,1,20,0,72.0,150.0,1,856,453
25973.0,1,20,0,72.0,150.0,1,856,453
25992.0,1,20,0,72.0,150.0,1,856,453
26008.0,1,20,0,72.0,150.0,1,856,453
26024.0,1,20,0,72.0,150.0,1,856,453
26042.0,1,20,0,72.0,150.0,1,856,453
26058.0,1,20,0,72.0,150.0,1,856,453
26075.0,1,20,0,72.0,150.0,1,856,453
26091.0,1,20,0,72.0,150.0,1,856,453
26106.0,1,20,0,72.0,150.0,1,856,453
26122.0,1,20,0,72.0,150.0,1,856,453
26142.0,1,20,0,72.0,150.0,1,856,453
26156.0,1,20,0,72.0,150.0,1,856,453
26174.0,1,20,0,72.0,150.0,1,856,453
26191.0,1,20,0,72.0,150.0,1,856,453
26207.0,1,20,0,72.0,150.0,1,856,453
26223.0,1,20,0,72.0,150.0,1,856,453
26241.0,1,20,0,72.0,150.0,1,856,453
26256.0,1,20,0,72.0,150.0,1,856,453
26275.0,1,20,0,72.0,150.0,1,856,453
26292.0,1,20,0,72.0,150.0,1,856,453
26307.0,1,20,0,72.0,150.0,1,856,453
26323.0,1,20,0,72.0,150.0,1,856,453
26342.0,1,20,0,72.0,150.0,1,856,453
26357.0,1,20,0,72.0,150.0,1,856,453
26375.0,1,20,0,72.0,150.0,1,856,453
26391.0,1,20,0,72.0,150.0,1,856,453
26408.0,1,20,0,72.0,150.0,1,856,453
26424.0,1,20,0,72.0,150.0,1,856,453
26439.0,1,20,0,72.0,150.0,1,856,453
26456.0,1,20,0,72.0,150.0,1,856,453
26475.0,1,20,0,72.0,150.0,1,856,453
26490.0,1,20,0,72.0,150.0,1,856,453
26507.0,1,20,0,72.0,150.0,1,856,453
26524.0,1,20,0,72.0,150.0,1,856,453
26541.0,1,20,0,72.0,150.0,1,856,453
26557.0,1,20,0,72.0,150.0,1,856,453
26574.0,1,20,0,72.0,150.0,1,856,453
26590.0,1,20,0,72.0,150.0,1,856,453
26607.0,1,20,0,72.0,150.0,1,856,453
26623.0,1,20,0,72.0,150.0,1,856,453
26640.0,1,20,0,72.0,150.0,1,856,453
26658.0,1,20,0,72.0,150.0,1,856,453
26674.0,1,20,0,72.0,150.0,1,856,453
26690.0,1,20,0,72.0,150.0,1,856,453
26709.0,1,20,0,72.0,150.0,1,856,453
26723.0,1,20,0,72.0,150.0,1,856,453
26739.0,1,20,0,72.0,150.0,1,856,453
26759.0,1,20,0,72.0,150.0,1,856,453
26774.0,1,20,0,72.0,150.0,1,856,453
26790.0,1,20,0,72.0,150.0,1,856,453
26808.0,1,20,0,72.0,150.0,1,856,453
26824.0,1,20,0,72.0,150.0,1,856,453
26841.0,1,20,0,72.0,150.0,1,856,453
26857.0,1,20,0,72.0,150.0,1,856,453
26875.0,1,20,0,72.0,150.0,1,856,453
26891.0,1,20,0,72.0,150.0,1,856,453
26906.0,1,20,0,72.0,150.0,1,856,453
26923.0,1,20,0,72.0,150.0,1,856,453
26940.0,1,20,0,72.0,150.0,1,856,454
26957.0,1,20,0,72.0,150.0,1,853,456
26974.0,1,20,0,72.0,150.0,1,853,458
26991.0,1,20,0,72.0,150.0,1,853,460
27006.0,1,20,0,72.0,150.0,1,852,462
27023.0,1,20,0,72.0,150.0,1,851,463
27039.0,1,20,0,72.0,150.0,1,851,464
27057.0,1,20,0,72.0,150.0,1,851,464
27073.0,1,20,0,72.0,150.0,1,851,464
27091.0,1,20,0,72.0,150.0,1,851,464
27106.0,1,20,0,72.0,150.0,1,851,465
27126.0,1,20,0,72.0,150.0,1,850,465
27141.0,1,20,0,72.0,150.0,1,850,465
27158.0,1,20,0,72.0,150.0,1,850,465
27175.0,1,20,0,72.0,150.0,1,850,465
27190.0,1,20,0,72.0,150.0,1,850,465
27208.0,1,20,0,72.0,150.0,1,850,465
27225.0,1,20,0,72.0,150.0,1,850,465
27241.0,1,20,0,72.0,150.0,1,850,465
27257.0,1,20,0,72.0,150.0,1,850,465
27275.0,1,20,0,72.0,150.0,1,850,465
27291.0,1,20,0,72.0,150.0,1,850,465
27308.0,1,20,0,72.0,150.0,1,850,465
27324.0,1,20,0,72.0,150.0,1,850,465
27341.0,1,20,0,72.0,150.0,1,850,465
27358.0,1,20,0,72.0,150.0,1,850,465
27374.0,1,20,0,72.0,150.0,1,850,465
27391.0,1,20,0,72.0,150.0,1,850,465
27408.0,1,20,0,72.0,150.0,1,850,465
27424.0,1,20,0,72.0,150.0,1,850,465
27441.0,1,20,0,72.0,150.0,1,850,465
27456.0,1,20,0,72.0,150.0,1,850,465
27475.0,1,20,0,72.0,150.0,1,850,465
27491.0,1,20,0,72.0,150.0,1,850,465
27507.0,1,20,0,72.0,150.0,1,850,465
27525.0,1,20,0,72.0,150.0,1,850,465
27542.0,1,20,0,72.0,150.0,1,850,465
27557.0,1,20,0,72.0,150.0,1,850,465
27574.0,1,20,0,72.0,150.0,1,850,465
27591.0,1,20,0,72.0,150.0,1,850,465
27608.0,1,20,0,72.0,150.0,1,850,465
27625.0,1,20,0,72.0,150.0,1,850,465
27642.0,1,20,0,72.0,150.0,1,850,465
27658.0,1,20,0,72.0,150.0,1,850,465
27675.0,1,20,0,72.0,150.0,1,850,465
27691.0,1,20,0,72.0,150.0,1,850,465
27708.0,1,20,0,72.0,150.0,1,850,465
27724.0,1,20,0,72.0,150.0,1,850,465
27742.0,1,20,0,72.0,150.0,1,850,465
27758.0,1,20,0,72.0,150.0,1,850,465
27774.0,1,20,0,72.0,150.0,1,850,465
27789.0,1,20,0,72.0,150.0,1,850,465
27809.0,1,20,0,72.0,150.0,1,850,465
27823.0,1,20,0,72.0,150.0,1,850,465
27843.0,1,20,0,72.0,150.0,1,850,465
27857.0,1,20,0,72.0,150.0,1,850,465
27876.0,1,20,0,72.0,150.0,1,850,465
27891.0,1,20,0,72.0,150.0,1,850,465
27908.0,1,20,0,72.0,150.0,1,850,465
27925.0,1,20,0,72.0,150.0,1,850,465
27942.0,1,20,0,72.0,150.0,1,850,465
27958.0,1,20,0,72.0,150.0,1,850,465
27975.0,1,20,0,72.0,150.0,1,850,465
27991.0,1,20,0,72.0,150.0,1,850,465
28008.0,1,20,0,72.0,150.0,1,850,465
28025.0,1,20,0,72.0,150.0,1,850,465
28042.0,1,20,0,72.0,150.0,1,850,465
28059.0,1,20,0,72.0,150.0,1,850,465
28074.0,1,20,0,72.0,150.0,1,850,465
28092.0,1,20,0,72.0,150.0,1,850,465
28107.0,1,20,0,72.0,150.0,1,850,465
28124.0,1,20,0,72.0,150.0,1,850,465
28139.0,1,20,0,72.0,150.0,1,850,465
28159.0,1,20,0,72.0,150.0,1,850,465
28174.0,1,20,0,72.0,150.0,1,850,465
28192.0,1,20,0,72.0,150.0,1,850,465
28206.0,1,20,0,72.0,150.0,1,850,465
28223.0,1,20,0,72.0,150.0,1,850,465
28240.0,1,20,0,72.0,150.0,1,850,465
28257.0,1,20,0,72.0,150.0,1,850,465
28273.0,1,20,0,72.0,150.0,1,850,465
28292.0,1,20,0,72.0,150.0,1,850,465
28306.0,1,20,0,72.0,150.0,1,850,465
28323.0,1,20,0,72.0,150.0,1,850,465
28340.0,1,20,0,72.0,150.0,1,850,465
28356.0,1,20,0,72.0,150.0,1,850,465
28376.0,1,20,0,72.0,150.0,1,850,465
28390.0,1,20,0,72.0,150.0,1,850,465
28407.0,1,20,0,72.0,150.0,1,850,465
28423.0,1,20,0,72.0,150.0,1,850,465
28439.0,1,20,0,72.0,150.0,1,850,465
28456.0,1,20,0,72.0,150.0,1,850,465
28473.0,1,20,0,72.0,150.0,1,850,465
28489.0,1,20,0,72.0,150.0,1,850,465
28506.0,1,20,0,72.0,150.0,1,850,465
28523.0,1,20,0,72.0,150.0,1,850,465
28540.0,1,20,0,72.0,150.0,1,850,465
28557.0,1,20,0,72.0,150.0,1,850,465
28573.0,1,20,0,72.0,150.0,1,850,465
28589.0,1,20,0,72.0,150.0,1,850,465
28608.0,1,20,0,72.0,150.0,1,850,465
28623.0,1,20,0,72.0,150.0,1,844,477
28641.0,1,20,0,72.0,150.0,1,844,477
28657.0,1,20,0,72.0,150.0,1,844,477
28673.0,1,20,0,72.0,150.0,1,842,485
28689.0,1,20,0,72.0,150.0,1,841,487
28706.0,1,20,0,72.0,150.0,1,841,487
28724.0,1,20,0,72.0,150.0,1,841,487
28740.0,1,20,0,72.0,150.0,1,841,487
28757.0,1,20,0,72.0,150.0,1,841,487
28774.0,1,20,0,72.0,150.0,1,841,487
28791.0,1,20,0,72.0,150.0,1,841,487
28807.0,1,20,0,72.0,150.0,1,841,487
28823.0,1,20,0,72.0,150.0,1,841,487
28840.0,1,20,0,72.0,150.0,1,841,487
28857.0,1,20,0,72.0,150.0,1,841,487
28874.0,1,20,0,72.0,150.0,1,841,487
28890.0,1,20,0,72.0,150.0,1,841,487
28907.0,1,20,0,72.0,150.0,1,841,487
28923.0,1,20,0,72.0,150.0,1,841,487
28939.0,1,20,0,72.0,150.0,1,841,487
28957.0,1,20,0,72.0,150.0,1,841,487
28972.0,1,20,0,72.0,150.0,1,841,487
28989.0,1,20,0,72.0,150.0,1,841,487
29007.0,1,20,0,72.0,150.0,1,841,487
29023.0,1,20,0,72.0,150.0,1,841,487
29039.0,1,20,0,72.0,150.0,1,841,487
29057.0,1,20,0,72.0,150.0,1,841,487
29073.0,1,20,0,72.0,150.0,1,841,487
29089.0,1,20,0,72.0,150.0,1,841,487
29107.0,1,20,0,72.0,150.0,1,841,487
29123.0,1,20,0,72.0,150.0,1,841,487
29140.0,1,20,0,72.0,150.0,1,841,487
29156.0,1,20,0,72.0,150.0,1,841,487
29173.0,1,20,0,72.0,150.0,1,841,487
29190.0,1,20,0,72.0,150.0,1,841,487
29208.0,1,20,0,72.0,150.0,1,841,487
29223.0,1,20,0,72.0,150.0,1,841,487
29241.0,1,20,0,72.0,150.0,1,841,487
29257.0,1,20,0,72.0,150.0,1,841,487
29272.0,1,20,0,72.0,150.0,1,841,487
29289.0,1,20,0,72.0,150.0,1,841,487
29307.0,1,20,0,72.0,150.0,1,841,487
29323.0,1,20,0,72.0,150.0,1,841,487
29340.0,1,20,0,72.0,150.0,1,841,487
29358.0,1,20,0,72.0,150.0,1,841,487
29373.0,1,20,0,72.0,150.0,1,841,487
29390.0,1,20,0,72.0,150.0,1,841,487
29407.0,1,20,0,72.0,150.0,1,841,487
29424.0,1,20,0,72.0,150.0,1,841,487
29439.0,1,20,0,72.0,150.0,1,841,487
29457.0,1,20,0,72.0,150.0,1,841,487
29473.0,1,20,0,72.0,150.0,1,841,487
29490.0,1,20,0,72.0,150.0,1,841,487
29508.0,1,20,0,72.0,150.0,1,841,487
29523.0,1,20,0,72.0,150.0,1,841,487
29539.0,1,20,0,72.0,150.0,1,841,487
29557.0,1,20,0,72.0,150.0,1,841,487
29574.0,1,20,0,72.0,150.0,1,841,487
29590.0,1,20,0,72.0,150.0,1,841,487
29606.0,1,20,0,72.0,150.0,1,841,487
29624.0,1,20,0,72.0,150.0,1,841,487
29639.0,1,20,0,72.0,150.0,1,841,487
29657.0,1,20,0,72.0,150.0,1,841,487
29673.0,1,20,0,72.0,150.0,1,841,487
29690.0,1,20,0,72.0,150.0,1,841,487
29708.0,1,20,0,72.0,150.0,1,841,487
29724.0,1,20,0,72.0,150.0,1,841,487
29740.0,1,20,0,72.0,150.0,1,841,487
29757.0,1,20,0,72.0,150.0,1,841,487
29775.0,1,20,0,72.0,150.0,1,841,487
29790.0,1,20,0,72.0,150.0,1,841,487
29806.0,1,20,0,72.0,150.0,1,841,487
29825.0,1,20,0,72.0,150.0,1,841,487
29840.0,1,20,0,72.0,150.0,1,841,487
29857.0,1,20,0,72.0,150.0,1,841,487
29873.0,1,20,0,72.0,150.0,1,841,487
29889.0,1,20,0,72.0,150.0,1,841,487
29906.0,1,20,0,72.0,150.0,1,841,487
29926.0,1,20,0,72.0,150.0,1,841,487
29940.0,1,20,0,72.0,150.0,1,841,487
29958.0,1,20,0,72.0,150.0,1,841,487
29973.0,1,20,0,72.0,150.0,1,841,487
29990.0,1,20,0,72.0,150.0,1,841,487
